Country,Fertility,Year,Value,Development,longitude,latitude
Tanzania,6.104,2012,2067.2216796875,Developing,34.81832206060381,-6.355794440041147
United States,2.084,2012,51784.41857388373,Developed,-96.3316166082964,38.8208089190304
Uruguay,2.334,2012,19290.293446457443,Developed,-56.01919523458085,-32.78195043831093
Uzbekistan,3.7299999999999995,2012,6061.947153883581,Developing,63.8548297593985,41.4879065244633
Vanuatu,5.7475,2012,2741.5025185240806,Developing,166.84912735669738,-15.189132121699332
Venezuela,3.4799999999999995,2011,17402.275658657138,Developed,-66.36492135985132,7.148324760507107
Vietnam,3.4240000000000004,2012,6364.978023440316,Developing,105.91338832758704,16.517347170839393
Yemen,6.798,2012,3258.1926777230256,Developing,47.46815793206386,16.001392616307445
Zambia,6.244,2012,3357.7383714339417,Developing,27.75521363430896,-13.162832953186246
Zimbabwe,4.8100000000000005,2012,2349.028207000452,Developing,29.717829640720844,-18.92700121981475
